UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:02.654496,1501,-571,None,None
2022-08-15 01:50:02.656492,1501,-572,None,None
2022-08-15 01:50:02.657468,1502,-573,None,None
2022-08-15 01:50:02.658484,1503,-574,None,None
2022-08-15 01:50:02.660464,1504,-575,None,None
2022-08-15 01:50:02.661457,1505,-576,None,None
2022-08-15 01:50:02.662456,1506,-576,None,None
2022-08-15 01:50:02.663453,1506,-577,None,None
2022-08-15 01:50:02.665463,1507,-578,None,None
2022-08-15 01:50:02.665463,1508,-578,None,None
2022-08-15 01:50:02.667445,1508,-579,None,None
2022-08-15 01:50:02.668441,1509,-579,None,None
2022-08-15 01:50:02.669439,1510,-580,None,None
2022-08-15 01:50:02.670436,1511,-580,None,None
2022-08-15 01:50:02.670436,1512,-581,None,None
2022-08-15 01:50:02.671433,1512,-582,None,None
2022-08-15 01:50:02.672429,1513,-582,None,None
2022-08-15 01:50:02.673425,1514,-583,None,None
2022-08-15 01:50:02.674426,1515,-584,None,None
2022-08-15 01:50:02.678439,1516,-585,None,None
2022-08-15 01:50:02.679410,1517,-586,None,None
2022-08-15 01:50:02.680407,1518,-586,None,None
2022-08-15 01:50:02.681405,1519,-587,None,None
2022-08-15 01:50:02.682402,1520,-588,None,None
2022-08-15 01:50:02.683398,1521,-588,None,None
2022-08-15 01:50:02.684397,1521,-589,None,None
2022-08-15 01:50:02.685394,1522,-589,None,None
2022-08-15 01:50:02.687403,1522,-590,None,None
2022-08-15 01:50:02.688419,1523,-591,None,None
2022-08-15 01:50:02.689384,1524,-591,None,None
2022-08-15 01:50:02.691378,1525,-591,None,None
2022-08-15 01:50:02.692405,1525,-592,None,None
2022-08-15 01:50:02.694372,1526,-593,None,None
2022-08-15 01:50:02.696365,1527,-593,None,None
2022-08-15 01:50:02.697362,1527,-594,None,None
2022-08-15 01:50:02.700373,1527,-595,None,None
2022-08-15 01:50:02.701350,1528,-595,None,None
2022-08-15 01:50:02.704350,1528,-596,None,None
2022-08-15 01:50:02.705346,1529,-596,None,None
2022-08-15 01:50:02.709345,1529,-597,None,None
2022-08-15 01:50:02.718318,1529,-598,None,None
2022-08-15 01:50:02.730321,1528,-599,None,None
2022-08-15 01:50:02.735357,1528,-600,None,None
2022-08-15 01:50:02.736288,1527,-600,None,None
2022-08-15 01:50:02.740261,1527,-601,None,None
2022-08-15 01:50:02.745248,1527,-602,None,None
2022-08-15 01:50:02.746242,1528,-602,None,None
2022-08-15 01:50:02.748245,1528,-603,None,None
2022-08-15 01:50:02.749234,1529,-603,None,None
2022-08-15 01:50:02.752230,1530,-603,None,None
2022-08-15 01:50:02.753223,1530,-604,None,None
2022-08-15 01:50:02.755223,1531,-604,None,None
2022-08-15 01:50:02.757218,1531,-605,None,None
2022-08-15 01:50:02.758210,1532,-605,None,None
2022-08-15 01:50:02.760212,1533,-605,None,None
2022-08-15 01:50:02.764197,1534,-605,None,None
2022-08-15 01:50:02.765192,1534,-606,None,None
2022-08-15 01:50:02.767188,1534,-607,None,None
2022-08-15 01:50:02.769181,1535,-607,None,None
2022-08-15 01:50:02.780242,1535,-608,None,None
2022-08-15 01:50:02.787133,1535,-609,None,None
2022-08-15 01:50:02.796108,1535,-610,None,None
2022-08-15 01:50:02.803214,1535,-611,None,None
2022-08-15 01:50:02.810615,1535,-612,None,None
2022-08-15 01:50:02.817566,1536,-613,None,None
2022-08-15 01:50:02.826997,1536,-614,None,None
2022-08-15 01:50:02.840733,1536,-615,None,None
2022-08-15 01:50:02.845222,1536,-616,None,None
2022-08-15 01:50:02.853869,1536,-617,None,None
2022-08-15 01:50:02.856079,1536,-618,None,None
2022-08-15 01:50:02.864626,1536,-619,None,None
2022-08-15 01:50:02.866618,1535,-620,None,None
2022-08-15 01:50:02.873816,1535,-621,None,None
2022-08-15 01:50:02.879802,1535,-622,None,None
2022-08-15 01:50:02.887788,1535,-623,None,None
2022-08-15 01:50:02.895794,1535,-624,None,None
2022-08-15 01:50:02.906751,1535,-625,None,None
2022-08-15 01:50:02.907731,1536,-625,None,None
2022-08-15 01:50:02.916709,1537,-626,None,None
2022-08-15 01:50:02.922730,1538,-626,None,None
2022-08-15 01:50:02.927675,1538,-627,None,None
2022-08-15 01:50:02.956992,1538,-628,None,None
2022-08-15 01:50:02.977963,1539,-628,None,None
2022-08-15 01:50:03.005874,1539,-629,None,None
2022-08-15 01:50:03.064723,1539,-629,None,"[0, -1]"
2022-08-15 01:50:03.081670,1539,-628,None,None
2022-08-15 01:50:03.088667,1538,-627,None,None
2022-08-15 01:50:03.088667,1538,-626,None,None
2022-08-15 01:50:03.090650,1538,-624,None,None
2022-08-15 01:50:03.092640,1537,-624,None,None
2022-08-15 01:50:03.092640,1537,-623,None,None
2022-08-15 01:50:03.093635,1537,-623,Button.left,None
2022-08-15 01:50:03.093635,1537,-622,None,None
2022-08-15 01:50:03.095628,1537,-621,None,None
2022-08-15 01:50:03.096626,1537,-622,None,"[0, -1]"
